cofradia_pescadores_id,cofradia_pescadores_nombre,cif,patron_mayor,direccion_isla_id,direccion_isla_nombre,direccion_municipio_id,direccion_municipio_nombre,direccion_nombre_via,direccion_numero,direccion_complemento,direccion_codigo_postal,telefono_1,telefono_2,email,pagina_web,ambito_territorial_id,ambito_territorial_nombre,puntos_desembarque,travelift,diesel,grua,pescaderia,latitud,longitud
12,Nuestra Señora de Las Nieves,G 38021978,Carlos Nicolás Rodríguez Pérez,ES707,La Palma,38008,Breña Alta,Refugio Pesquero,Sin número,_Z,38710,(34)922411902,_U,cofradiascpalma@hotmail.com,_U,12,Poris de Lomada Grande - Punta del Banco,"Refugio Talavera, Puerto Espíndola, Puerto de Santa Cruz de La Palma, Faro de Fuencaliente y Punta Larga.",SI,SI,SI,SI,28.67197638,-17.76928236
13,Nuestra Señora del Carmen,G 38022448,Pablo Manuel Trujillo Arrocha,ES707,La Palma,38045,Tazacorte,Refugio Pesquero de la Villa y Puerto de Tazacorte,Sin número,_Z,38779,(34)922480553,(34)922481095,cofradia.tazacorte@gmail.com,_U,13,Cueva de Las Hembras - Costa de Triana,"Puerto de Tazacorte, El Remo, Puerto Naos y La Bombilla.",SI,SI,SI,NO,28.64703985,-17.94365992
14,Nuestra Señora de Los Reyes,G 38036810,Fernando Gutiérrez Hernández,ES703,El Hierro,38901,El Pinar de El Hierro,Explanada del Muelle,Sin número,La Restinga,38917,(34)922557097,(34)646333959,cofradiaelhierro@gmail.com,_U,14,Costa de toda la isla de El Hierro,"Puerto de La Estaca, Puerto de La Restinga y Punta Grande.",SI,SI,SI,NO,27.64006043,-17.97857455
15,Castillo del Romeral,G 35083583,Luis Trujillo García,ES705,Gran Canaria,35019,San Bartolomé de Tirajana,Avenida de la playa,Sin número,Castillo del Romeral,35107,(34)928728002,_U,cofradia.romera@canarias.org,_U,15,Barranco de Jinamar - Punta de Maspalomas,"Melenara, Salinetas, Arinaga, Castillo del Romeral, El Águila y Playa Las Burras.",SI,SI,SI,NO,27.79755872,-15.46366175
16,Arguineguín,G 35047901,Ricardo Ortega Santana,ES705,Gran Canaria,35012,Mogán,Avenida del Muelle,Sin número,Arguineguín,35120,(34)928735956,_U,cofradialp@gmail.com,_U,16,Punta de Maspalomas - Punta de La Perra,"Pasito Blanco, El Pajar y Puerto de Arguineguín.",SI,SI,SI,SI,27.75652588,-15.68430478
17,Playa de Mogán,G 35047943,Cristóbal Godoy Rodríguez,ES705,Gran Canaria,35012,Mogán,Dársena Pesquera,Sin número,_Z,35138,(34)928565128,_U,cofradia.mogan@hotmail.es,_U,17,Punta de La Perra - Punta del Descojonado,Puerto de Mogán,SI,SI,SI,NO,27.81628999,-15.76687264
18,Agaete,G 35047323,Gabriel Jiménez Cruz,ES705,Gran Canaria,35001,Agaete,Explanada del Puerto de las Nieves,Sin número,_Z,35480,(34)928886319,_U,cofradia.agaete@gmail.com,_U,18,Punta del Descojonado - Punta de Las Ranas,"La Aldea, Puerto de Las Nieves y Sardina del Norte.",SI,SI,SI,SI,28.1024342,-15.71247226
19,Corralejo,G 35053149,Juan Francisco González Pérez,ES704,Fuerteventura,35014,La Oliva,Avenida Marítima,Sin número,"Edificio Lonja de Pescadores, Corralejo",35660,(34)928905436,_U,cofradia.corralejo@gmail.com,_U,19,Ajuy - Playa del Pozo Negro (norte),"El Cotillo, Puerto de Corralejo, Puerto del Jablito, Puerto del Rosario, El Castillo y Salinas del Carmen.",SI,SI,SI,NO,28.74180188,-13.86520538
20,Gran Tarajal,G 35050830,Juan Ramón Roger Carreño,ES704,Fuerteventura,35030,Tuineje,Recinto portuario,Sin número,Gran Tarajal,35620,(34)928162566,_U,cofradiagrantarajal@gmail.com,_U,20,Playa del Pozo Negro (norte) - Punta del Morrete (sur),"Pozo Negro, Jacomar, Las Playitas, Gran Tarajal y Giniginamar.",SI,SI,SI,SI,28.20885701,-14.02364364
21,Morro Jable,G 35053339,Juan Francisco Placeres Viera,ES704,Fuerteventura,35015,Pájara,Muelle Pesquero,Sin número,Morro Jable,35625,(34)928540179,_U,info@cofradiamorrojable.com,_U,21,Punta del Morrete (sur) - Ajuy,"Tarajalejo, La Lajita, Puerto de Morrojable, Puerto Nuevo y Ajuy.",SI,NO,SI,SI,28.04987214,-14.35832685
22,La Graciosa,G 35051176,Gregorio Agustín Paez Guadalupe,35024_UP002500,La Graciosa,35024,Teguise,Calle La Calima,33,Caleta de Sebo,35540,(34)928842005,(34)928842183,hernandezpaizcarmendolores@gmail.com,_U,22,Ámbito insular de La Graciosa,Caleta de Sebo,SI,SI,NO,SI,29.23405909,-13.5006882
23,San Ginés,G 35047380,Jose Aquilino Arrocha Bravo,ES708,Lanzarote,35004,Arrecife,Avenida Naos,20,_Z,35500,(34)928813584,_U,info@cofradiasangines.com,http://cofradiasangines.com ,23,Playa La Santa - Playa Honda,"Puerto de Órzola, Punta Mujeres, Arrieta, Puerto de Arrecife, Charco de San Ginés, La Santa y Caleta de Famara.",NO,_U,NO,SI,28.96599238,-13.54017601
24,La Tiñosa,G 76050681,Francisco Rodríguez Rodríguez,ES708,Lanzarote,35028,Tías,Calle Lanzarote,1,Centro Cívico El Fodeadero. Puerto del Carmen,35510,(34)608054565,_U,cofradialatinyosa@gmail.com,_U,24,Costa del municipio de Tías,Puerto del Carmen,SI,NO,SI,NO,28.92170707,-13.67210177
25,Playa Blanca,G 35055359,Cristo Raul Caraballo de Ganzo,ES708,Lanzarote,35034,Yaiza,Explanada del Muelle,Sin número,Playa Blanca,35580,(34)928518466,_U,playablancac@gmail.com,_U,25,Costa del municipio de Yaiza,"Playa Quemada, Puerto de Playa Blanca y El Golfo.",SI,SI,SI,SI,28.85945805,-13.83523146
